name,logrank_p_value,FDR,Bonferroni
C19orf35,0.20266929276108087,0.5767092802223287,1.0
EFCAB7,0.006408374226239972,0.07604700018877045,1.0
EFCAB9,1.0,1.0,1.0
CDK5,0.024237883196873172,0.16436898682095483,1.0
FCGBP,0.03329714861274888,0.19814545012504295,1.0
APOD,0.034358671386890714,0.20173242893088486,1.0
CTPS2,0.06973791722549494,0.30508893141103754,1.0
C19orf38,0.9587575049472239,1.0,1.0
EFCC1,0.0035700315232044914,0.05442981821515057,1.0
CDK5R1,0.0009998615349103338,0.028701139598405447,1.0
CDK5R2,1.0,1.0,1.0
FCGR1A,0.6244235826436833,1.0,1.0
APOE,0.20666744888941382,0.5822165398286512,1.0
CTR9,0.26394376712398127,0.6720896434072252,1.0
C19orf43,0.44766675535812483,0.9126312987903658,1.0
CTRB1,1.0,1.0,1.0
CTRB2,1.0,1.0,1.0
EFEMP1,0.406398338666662,0.8622849009914375,1.0
CDK5RAP1,0.040616942046175816,0.22279252239745823,1.0
FCGR1B,0.28280123470912216,0.7001206638244505,1.0
APOF,0.2487493297088228,0.65002548962048,1.0
C19orf44,0.7067477817914476,1.0,1.0
CTRC,0.555093017906735,1.0,1.0
EFEMP2,0.8944354283154499,1.0,1.0
CDK5RAP2,0.09076641495427577,0.3569496163526826,1.0
APOH,0.016185022161845527,0.13019620990059483,1.0
FCGR1C,0.6678506149570684,1.0,1.0
C19orf45,0.4158134967612007,0.8739670181308641,1.0
CTRL,0.022946511156331416,0.15883443150818233,1.0
EFHB,0.364891435422632,0.8128175093035753,1.0
CDK5RAP3,0.9987012994766497,1.0,1.0
APOL1,0.3802812603729886,0.8307106172448795,1.0
FCGR2A,0.2925472918483165,0.7138467818849865,1.0
C19orf47,0.001633976463362067,0.03680981990050498,1.0
CTSA,0.020574143882788356,0.15005427319241807,1.0
EFHC1,0.15429597289660557,0.4900752373929386,1.0
CDK6,0.8981945777443263,1.0,1.0
APOL2,0.9786378487179112,1.0,1.0
FCGR2B,0.5518509931423388,1.0,1.0
C19orf48,0.00029032309187339815,0.016222540452364032,1.0
CTSB,0.04213954056276379,0.22750060865227906,1.0
EFHC2,0.37607697514376526,0.8254356106408626,1.0
CDK7,0.003713526935223655,0.05550302580804534,1.0
APOL3,0.09293265598452013,0.3616408710534948,1.0
FCGR2C,0.40677711216365064,0.86288036497886,1.0
CTSC,0.0009206790898061295,0.02741874308120928,1.0
EFHD1,0.27283967954768074,0.6841740253296404,1.0
C19orf52,0.20967161063967898,0.5880771856389463,1.0
CDK8,0.173147214958993,0.5237499748444255,1.0
APOL4,0.1323014049819383,0.4467056269580868,1.0
FCGR3A,0.7836150529881909,1.0,1.0
CTSD,0.14386062399074787,0.4696254499289603,1.0
EFHD2,0.11572727968888535,0.4115390315357989,1.0
