name,logrank_p_value,FDR,Bonferroni
CFAP45,0.005316885901356075,0.04181957007742699,1.0
CYP4F24P,0.03706085288171097,0.04868140566493338,1.0
ARSK,0.024409424196332165,0.04779591174536748,1.0
CYSTM1,0.0005523479598658498,0.036961949858313886,0.6418283293641175
C5orf28,0.01823412580235905,0.04779591174536748,1.0
EMC3,0.0029407404038874173,0.03958144577229722,1.0
EMC8,0.021119897498299,0.04779591174536748,1.0
ABTB1,0.029821923174159437,0.04779591174536748,1.0
C5orf63,0.012314730290199217,0.04779591174536748,1.0
ACAD9,0.032681170263309904,0.047992906500500906,1.0
ACADS,0.0014921970136767902,0.036961949858313886,1.0
DAGLB,0.0037543507902799995,0.04036905426053838,1.0
DANCR,0.0014471548050559973,0.036961949858313886,1.0
DANT2,0.042238354756159384,0.04868140566493338,1.0
EMX1,0.026485286034256327,0.04779591174536748,1.0
DAO,0.024883787238675535,0.04779591174536748,1.0
ENAH,0.03224950089537937,0.047992906500500906,1.0
ACE2,0.027784119882182212,0.04779591174536748,1.0
ASMT,0.035619642213686166,0.048566271532638074,1.0
C7orf13,0.011180599232127076,0.04779591174536748,1.0
ENO1,0.04171099325885679,0.04868140566493338,1.0
ACKR1,0.041311970281471114,0.04868140566493338,1.0
DBET,0.012414942713957818,0.04779591174536748,1.0
ASPA,0.02105510498120326,0.04779591174536748,1.0
ENO4,0.038171924048110255,0.04868140566493338,1.0
ASPM,0.006828985127007735,0.04446830976287856,1.0
CHEK1,0.04268987718081783,0.04868140566493338,1.0
DBNL,0.03173331386740499,0.047992906500500906,1.0
CHEK2P2,0.01862604562010057,0.04779591174536748,1.0
C8B,0.0055161552104065915,0.04181957007742699,1.0
ASTN1,0.04105183960932672,0.04868140566493338,1.0
ACOT8,0.018423257871602917,0.04779591174536748,1.0
ACOT9,0.013040012587474267,0.04779591174536748,1.0
ENTPD1-AS1,0.04097149268621737,0.04868140566493338,1.0
CHKB-AS1,0.01722410581583856,0.04779591174536748,1.0
ACRBP,0.032909306218468666,0.047992906500500906,1.0
ATF7IP2,0.022864958039973203,0.04779591174536748,1.0
ATG10,0.0006523885865506414,0.036961949858313886,0.7580755375718453
ATG101,0.00784377676955332,0.044963884362399606,1.0
CHORDC1,0.009742643095844642,0.04738685648771272,1.0
ATG12,0.0021146024179453586,0.03839090210568533,1.0
CHP1,0.011743358601812463,0.04779591174536748,1.0
EPCAM,0.019722731355571326,0.04779591174536748,1.0
ATG7,0.04318878330731923,0.04868140566493338,1.0
ATG9A,0.018865030567382004,0.04779591174536748,1.0
DCTN2,0.02244258403116936,0.04779591174536748,1.0
EPHA4,0.04893076705212609,0.04960732497298256,1.0
C9orf78,0.04599951462517784,0.04919444796916786,1.0
C9orf84,0.04097027082519123,0.04868140566493338,1.0
CHRNA5,0.017699161474803916,0.04779591174536748,1.0
C9orf9,0.04267769198338743,0.04868140566493338,1.0
ACTR1A,0.04265595823722171,0.04868140566493338,1.0
ACTR5,0.045362511647621076,0.049033710264684366,1.0
ATP13A2,0.034686227158679195,0.048566271532638074,1.0
EPS8L3,0.013076068735936806,0.04779591174536748,1.0
ATP1B3,0.034571006858840354,0.048566271532638074,1.0
DDTL,0.03804922699965829,0.04868140566493338,1.0
CACFD1,0.026216879756732082,0.04779591174536748,1.0
ERBB2,0.022768130256641376,0.04779591174536748,1.0
CIB1,0.022100973937812893,0.04779591174536748,1.0
CACNA1D,0.008150577147100022,0.044963884362399606,1.0
ATP5E,0.004513348671022164,0.041130636835077936,1.0
CINP,0.029610566018839414,0.04779591174536748,1.0
ATP5EP2,0.003487032853307728,0.039607424638212714,1.0
ADAM9,0.02855391273120676,0.04779591174536748,1.0
ERGIC3,0.0025496818639660287,0.03958144577229722,1.0
ERH,0.024151202057485367,0.04779591174536748,1.0
ADAMTS10,0.024533359745025244,0.04779591174536748,1.0
ERI1,0.03630142789677215,0.04868140566493338,1.0
DDX39A,0.027651833881935237,0.04779591174536748,1.0
ERI3,0.0009276082966833883,0.036961949858313886,1.0
ERICH1,0.03453365968699727,0.048566271532638074,1.0
ATP6AP2,0.03889701351470084,0.04868140566493338,1.0
ATP6V0A1,0.029553181689696662,0.04779591174536748,1.0
ADAMTS5,0.004410932574612338,0.041130636835077936,1.0
ATP6V0E1,0.00011439005771323208,0.036961949858313886,0.13292124706277567
CKMT2,0.009401019024126111,0.04738685648771272,1.0
ATP6V1B2,0.03294542601930119,0.047992906500500906,1.0
ADAMTSL2,0.03246926603993498,0.047992906500500906,1.0
ATP6V1D,0.009476610636392246,0.04738685648771272,1.0
ADAMTSL3,0.020542914896589014,0.04779591174536748,1.0
ATP6V1E1,0.030967381202249265,0.04779836940350675,1.0
ATP6V1F,0.026509438480968688,0.04779591174536748,1.0
ADAP2,0.03646810753931342,0.04868140566493338,1.0
