name,logrank_p_value,FDR,Bonferroni
RBMX,0.10308226898208886,0.21284881921101584,1.0
SDK2,0.42289833511738306,0.4606373820472501,1.0
RBMX2,0.03220891258598941,0.11279679265093438,1.0
SNAPC4,0.22903065988672233,0.33052305470014187,1.0
RBMXL1,0.17021568358762718,0.2813621153522252,1.0
POMP,0.02734997255026683,0.10309186558458454,1.0
SDPR,0.1633337346431136,0.2753363721570175,1.0
TBC1D7,0.09975991934111768,0.2091279260067685,1.0
TBC1D8,0.2583165712126181,0.3534022993292934,1.0
SPEG,0.20426913673873393,0.311280186659801,1.0
POMT1,0.005824435805453547,0.04567922054434985,1.0
RBMXL2,0.3541496572199788,0.42091607782253576,1.0
TBC1D8B,0.32741298162303345,0.40290906340450805,1.0
SDR39U1,0.025202868242617714,0.09912689749196082,1.0
TBC1D9,0.26759536648415366,0.3599336913421353,1.0
POMT2,0.0014609241100528316,0.023698669879583432,1.0
SPEN,0.1626451049571846,0.27479072264689647,1.0
SNAPIN,0.03987281278381473,0.12651219715585735,1.0
POMZP3,0.06106054756422494,0.15895383374402683,1.0
SDR9C7,0.33418296645422785,0.4081828832566559,1.0
TBCB,0.004107059868253725,0.03795936159073216,1.0
RBP2,0.43892405876531393,0.4688579832345282,1.0
SPERT,0.05643907225118338,0.15184351220169737,1.0
TBCC,0.014979368145956164,0.07429613922578862,1.0
PON1,0.0002729078817962533,0.0127446607326751,1.0
SDS,0.16138039029589124,0.2736189387079242,1.0
TBCCD1,0.1399495105238631,0.2523126430886318,1.0
RBP4,0.012977698415872211,0.06926339007592044,1.0
PON2,0.04103006165178882,0.12821661246751634,1.0
TBCD,9.113906474022223e-05,0.008246817674181721,1.0
SDSL,0.43865496105267054,0.46876575921518865,1.0
TBCE,0.03256578786421651,0.11347459568532807,1.0
RBP5,0.04455427100674259,0.13384768551403167,1.0
SNCA,0.3329858647993319,0.40711149425361765,1.0
PON3,0.010621729819671574,0.06204353095516016,1.0
TBK1,0.36925033176512223,0.43031239950533895,1.0
POP1,0.19534177125298802,0.3038833923268981,1.0
RBPJ,0.10544027496951586,0.21564621208454657,1.0
POP4,0.2731644840222766,0.3644906231753728,1.0
SNCB,0.021376224823468026,0.09111045939737762,1.0
SEC11C,0.36018757041901617,0.42489839796621104,1.0
TBL1X,0.08343123653776499,0.18993615856518664,1.0
RBPMS,0.4387006883419531,0.46876575921518865,1.0
POP5,0.011767374492501759,0.06609718396033246,1.0
TBL1XR1,0.041142298991755276,0.1283923468535811,1.0
SNCG,0.08667827140283803,0.19391116567907593,1.0
SEC13,0.002688466492631225,0.031074779086308003,1.0
SPG7,0.2000132174000693,0.3082729776108622,1.0
POP7,0.0025758945581425114,0.030546556501558953,1.0
TBL1Y,0.15645793259416707,0.26849243023519986,1.0
SND1,0.1259016766819358,0.23796420231337026,1.0
SEC14L1,0.4486965050036118,0.47387634644605775,1.0
RBPMS2,0.17963086419686694,0.29063095815438533,1.0
SEC14L1P1,0.1969737778413566,0.30537642631912193,1.0
RBSN,0.02427875351905834,0.09766512361758292,1.0
TBL3,0.353835802931852,0.42079904201228907,1.0
SPHK1,0.05973820331166019,0.15718414781086412,1.0
SNED1,0.06890142704259859,0.17016301096079553,1.0
POPDC3,0.1784734380988161,0.28978760794231756,1.0
SEC14L2,0.0342932850632555,0.11621635958522646,1.0
RBX1,0.010105610873982372,0.06091708290206025,1.0
SNF8,0.005463414492547126,0.04420866456439898,1.0
SEC14L3,0.00595876731023421,0.046336236924579874,1.0
POR,0.21494323053534456,0.3200415253852959,1.0
TBP,0.01241995600321969,0.06758987379153973,1.0
SPI1,0.1884343393810745,0.2983172601917851,1.0
SNHG1,0.014484086868370147,0.07292939200633226,1.0
TBPL1,0.1779264022368771,0.28926291106244456,1.0
SEC14L4,0.09472000295423123,0.20357583394910878,1.0
POSTN,0.019545538745318874,0.08668295132570232,1.0
RCAN1,0.06886817183054746,0.17014198486009532,1.0
SEC14L5,0.011294141486110737,0.06465343748769842,1.0
SPIC,0.08391227723350368,0.19044667309422153,1.0
POT1,0.04644776760854195,0.13629170034622504,1.0
SNHG11,0.16605155752855433,0.2775855354784456,1.0
TBRG4,0.0006318494198159447,0.016830232805656393,1.0
RCAN2,0.002258681635354056,0.028768911644379995,1.0
SPICE1,0.30637644234033934,0.3879696530271295,1.0
POT1-AS1,0.09462650875251033,0.20357583394910878,1.0
SNHG12,0.0004353446778188084,0.014465220744143789,1.0
RCAN3,0.007486261940439198,0.05209902613406326,1.0
SEC16A,0.2848396450101933,0.3729184502484267,1.0
SPIDR,0.13295014843304298,0.24518866360704375,1.0
SNHG15,0.013346497935578105,0.0703450622113195,1.0
POTEE,0.009780565132977233,0.05976549565563627,1.0
SEC16B,0.197599951339971,0.3059296489175735,1.0
SNHG16,0.019136723006398966,0.08553466726669177,1.0
SEC1P,0.2385791905593053,0.33778255921508893,1.0
POTEF,0.015443125007042055,0.07543878820911595,1.0
SPIN2A,0.030798779752965657,0.10975855292274496,1.0
SNHG17,0.02654834448136499,0.10161826968443936,1.0
RCBTB2,0.4715193504566829,0.4853704489334933,1.0
POTEI,0.07788040145708591,0.1821977555176316,1.0
SEC22A,0.09098200584544217,0.1994344307714061,1.0
SPIN2B,0.12964813752722007,0.242067408995134,1.0
RCC1,0.002211381810133072,0.02837664942181953,1.0
TBX19,5.149107316340184e-05,0.006631955970908729,0.7083112024357557
POTEJ,0.013500337194844827,0.0706930485162868,1.0
SPIN3,0.0009406131065323845,0.01987568954448461,1.0
TBX2,0.3530413259517726,0.4205732833704765,1.0
RCC2,0.05835293845983111,0.15472301878439412,1.0
SEC22C,0.09888753725282448,0.20815561781941141,1.0
POTEM,0.06817919377794462,0.1694746999655595,1.0
SPIN4,0.009576392629420638,0.059216838068270584,1.0
SNHG20,0.0015295254007672758,0.024320096178235485,1.0
RCCD1,0.44673971595197337,0.47279208590824323,1.0
SEC23A,0.48176642089285704,0.49039358338035677,1.0
SPINK1,0.042900439113611404,0.13098678857716242,1.0
SNHG21,0.0033998312360501637,0.03461737859593342,1.0
RCE1,0.11665282998519119,0.22868409993961666,1.0
TBX21,0.061069425075398504,0.15895383374402683,1.0
POU2F1,0.008260715070118385,0.055002128027371006,1.0
SEC23B,0.2375102043674978,0.3370676228919009,1.0
SPINK5,0.14785091461949518,0.25994851501863186,1.0
RCHY1,0.3521446107844797,0.41997521191813697,1.0
SEC23IP,0.4054391724383001,0.4501752567649734,1.0
RCL1,0.0006398914394647347,0.01689509911953338,1.0
SEC24A,0.3393719566507554,0.4112403660753869,1.0
TBX4,0.14708080557109643,0.2592240309335045,1.0
POU2F3,0.2473312077431084,0.34527664713737405,1.0
SNHG3,0.0005804188957635406,0.01636418660789903,1.0
RCN1,0.041361826213789345,0.12863967474494375,1.0
TBX6,0.23978224953781313,0.3387413085846483,1.0
SEC24B,0.38217602827445485,0.4375106134667134,1.0
POU3F1,0.3676548077699793,0.4293988398441021,1.0
SNHG4,0.24255679074262515,0.34124469504873184,1.0
RCN2,0.0032175892473978083,0.033735638481100796,1.0
TBXA2R,0.0446333552505778,0.1340119350299721,1.0
SEC24B-AS1,0.014241898109630332,0.07234547651258304,1.0
POU4F1,0.49636592913957533,0.4980313436355943,1.0
RCN3,0.27820199904904497,0.3679922907182293,1.0
SPIRE2,0.004908878814574316,0.041965208197135825,1.0
SEC24C,0.46144914281217786,0.48068570352097223,1.0
POU5F1,0.0974573723649915,0.2067268487668193,1.0
RCOR1,0.23713482386328694,0.33670795180257795,1.0
SNHG6,0.009437842079012196,0.05873365196560044,1.0
SPN,0.025010672905488116,0.09879123111691326,1.0
POU5F1B,0.4736939103399511,0.48631490638378744,1.0
SNHG7,0.006924810552992758,0.04982243638308049,1.0
RCOR2,0.23291240856737855,0.33343148009708184,1.0
SPNS1,0.02424974972483264,0.09765356699683284,1.0
SNHG8,0.4862006656126747,0.4926121446978448,1.0
POU5F1P3,0.38561637181773833,0.4395335880981807,1.0
SEC31A,0.17494662990317916,0.28635957174537513,1.0
TCAF1,0.04633403780339338,0.136219896639389,1.0
RCOR3,0.04477422121142495,0.13418609738221385,1.0
SEC31B,0.005083525899002527,0.04277001973497172,1.0
POU5F1P4,0.014659811945169196,0.07346318683880049,1.0
SPNS2,0.09767539550279222,0.20695380138755154,1.0
SNHG9,0.21096316638796525,0.3166747124634981,1.0
RCSD1,0.3121760998521297,0.3915293972981306,1.0
SEC61A1,9.532612695147863e-06,0.0038945676471637686,0.13113062023445402
RD3,0.07362615283155385,0.1765756392795732,1.0
POU6F1,0.3945716938087708,0.44450799100646515,1.0
SNIP1,0.18875733689001972,0.2984746151233181,1.0
SPOCD1,0.018438459646902928,0.08368177199036511,1.0
SEC61A2,0.4664403299730169,0.4830500021914342,1.0
RDH10,0.49153572872880913,0.4957886408852836,1.0
SEC61B,0.011573511717497025,0.0655061369524893,1.0
SPOCK1,0.27687355923749346,0.36700012295161155,1.0
TCAP,0.42800045564968914,0.4634773474238205,1.0
SEC61G,2.4586818725507683e-05,0.004704185292666614,0.33821627838808366
SPOCK2,0.1499337597419502,0.26206973303815334,1.0
PP2D1,0.45433386258162767,0.4767386435962826,1.0
SEC62,0.35277343749755197,0.42037001093350007,1.0
TCEA1,0.03925058017383248,0.1253030821237502,1.0
RDH12,0.36147539318688393,0.42557818458394175,1.0
PP7080,0.2313009753752101,0.33212695378511375,1.0
SPON1,0.4637835081292494,0.4820760649607185,1.0
SEC63,0.3360046569011836,0.4094660994993805,1.0
PPA1,0.12592899904674026,0.23798314478458016,1.0
TCEA3,0.2833417308241974,0.37187757363015544,1.0
SPON2,0.1479625535859083,0.2599658602612207,1.0
SNORA57,0.48568554431783817,0.4924152673670535,1.0
PPA2,0.38787967753816177,0.44041872424390865,1.0
SECISBP2L,0.07636289276748771,0.18021513184855387,1.0
RDH16,0.0020971174854711267,0.02781865779184264,1.0
PPAN,0.027401421872837436,0.10309186558458454,1.0
SECTM1,0.26793223305335423,0.3601480451913958,1.0
TCEAL2,0.2654132421667081,0.35847582442434583,1.0
RDH5,0.08804422995636707,0.19547069517104348,1.0
PPAN-P2RY11,0.47456435251047446,0.4867725921358651,1.0
SPP1,0.000134954354342103,0.009243065367825053,1.0
TCEAL3,0.29793158296160843,0.38213995454891575,1.0
SEH1L,0.003780431694098567,0.03631537596649433,1.0
PPAP2A,0.04890336902583822,0.14032270241014488,1.0
RDM1,0.0009214755987185382,0.019682947726664925,1.0
SPP2,0.004660232547265794,0.0405992140089856,1.0
PPAP2B,0.019030227283180327,0.08518705060443495,1.0
TCEAL5,0.24184601094520786,0.34073290918708016,1.0
SNORA73A,0.1466523516814525,0.25903525210037676,1.0
SEL1L3,0.3621016494105561,0.4259509397376099,1.0
PPAP2C,0.1787106411227772,0.2899792307230509,1.0
SNORA73B,0.34707260479938495,0.4166991551218648,1.0
TCEAL6,0.4830690515310099,0.4909959950712167,1.0
SELENBP1,0.030549712453530966,0.10946476417850363,1.0
RECQL,0.014407043974293288,0.07281482585501074,1.0
SPPL3,0.010376923485669015,0.061475004077891034,1.0
PPAPDC1B,0.3919291364844848,0.4431511755285692,1.0
RECQL4,0.0016716830622479292,0.025088549135765414,1.0
SPR,0.33205184555648265,0.4064879583051504,1.0
TCEAL8,0.02002805426903829,0.08790871554718914,1.0
PPAPDC2,0.023138952670193478,0.09513336922214077,1.0
SELK,0.0849051577324031,0.19165660481899197,1.0
TCEANC,0.11166464541475962,0.2231670583067606,1.0
SELL,0.20045560735714735,0.30852126987947737,1.0
RECQL5,0.02038710882991243,0.08873239449050552,1.0
SPRED1,0.06843588962922158,0.1697446984744991,1.0
TCEANC2,0.0010721268354034815,0.021159507529139587,1.0
SPRED2,0.26029544206115074,0.35472796720756783,1.0
SELM,0.2610764261825669,0.35536981185111716,1.0
PPARA,0.27230026494806936,0.3639135766662433,1.0
TCEB1,0.043909882322525386,0.1328986449347985,1.0
REEP2,0.04520073797604454,0.13462322456193987,1.0
SPRED3,0.10378691702728905,0.21369448145897144,1.0
SELO,0.364312770982787,0.4271819151081952,1.0
PPARD,0.022666746293439302,0.09420053233007585,1.0
REEP3,0.08659804726780568,0.19391116567907593,1.0
SELP,0.0015861133322217292,0.024610956346301352,1.0
SPRN,0.3362533086814671,0.40948127781712657,1.0
PPARG,0.004853041860059043,0.0416719374700201,1.0
REEP4,0.001712535701140538,0.0254127735759323,1.0
TCEB3,0.15096137414770994,0.2629495600722227,1.0
PPARGC1A,0.0007674198298433968,0.01823251671731566,1.0
SELPLG,0.1411158958967239,0.25345218226339394,1.0
PPARGC1B,0.022757504339300034,0.09440658313975009,1.0
SELT,0.12987776429646436,0.24218497026733954,1.0
SPRTN,0.144749530441016,0.25694469017452526,1.0
REEP6,0.29376375817211686,0.37941235998524026,1.0
PPAT,0.0005042613866017002,0.015414710297984417,1.0
TCERG1,0.09163062283594275,0.20011817228762532,1.0
SPRY1,0.3021699414405481,0.38526071451169347,1.0
REG1A,0.3444341101125725,0.41477270126661153,1.0
SEMA3B,0.39134286416019115,0.44274302486944567,1.0
SPRY2,0.4284107551411923,0.46358662262097367,1.0
REG3A,0.20470764730241908,0.3116722076692946,1.0
PPCDC,0.2024541212044789,0.30988749207620025,1.0
TCF15,0.41685193827750966,0.45672761950979074,1.0
REG4,0.15207259846801294,0.26416348838565296,1.0
PPCS,0.032321086507844654,0.11298827598523789,1.0
SEMA3C,0.15903763966467876,0.27085821112137193,1.0
TCF19,0.0013231753258131865,0.022921346937172606,1.0
TRHDE,0.19175977487726717,0.30100220532599525,1.0
SPRY4,0.09849568625125123,0.20798364631302463,1.0
TRHDE-AS1,0.03059274278447054,0.10946476417850363,1.0
PPDPF,0.1847401530450445,0.29518940007987365,1.0
SEMA3D,0.1483591107578226,0.26034289164237884,1.0
TCF20,0.1437585390873073,0.255839705556903,1.0
RELA,0.3372210159475146,0.40991491288420057,1.0
SPRYD3,0.07449409216459014,0.1775336695957507,1.0
PPEF1,0.4143681337004803,0.4552508036412807,1.0
TRIAP1,0.3367895423265673,0.4096990576798957,1.0
TCF21,0.0010938790158670872,0.021325013149996876,1.0
RELB,0.08447137095376378,0.19105363019401095,1.0
SPRYD4,0.03445260399220828,0.11631418177173991,1.0
SEMA3F,0.11886953213906243,0.2307495180822618,1.0
SPRYD7,0.3994076830987008,0.4466826725363225,1.0
PPFIA1,0.021907911059262694,0.09235832808189323,1.0
SEMA3G,0.06697327218450501,0.16762815359717084,1.0
TCF3,0.006225600055578991,0.04733423364174345,1.0
RELL2,0.07253224832515727,0.17522894414486537,1.0
TRIB3,0.0025788125174931284,0.030554819113381114,1.0
TCF4,0.12237687071258198,0.2343611629572989,1.0
SPSB2,0.003315451744514605,0.03427150145542358,1.0
PPFIA3,0.015917460192448767,0.07656909092044165,1.0
TCF7,0.3503711925459405,0.41891692551608234,1.0
SPSB3,0.33122146576927924,0.40592561212501693,1.0
PPFIA4,0.014885584608620096,0.07401255419558597,1.0
RELT,0.04817449038448353,0.13919098713063546,1.0
TRIM10,0.3606747985473988,0.42518446404533317,1.0
SEMA4C,0.08531283415933297,0.19222986841863787,1.0
TCF7L1,0.09457753032635673,0.20357583394910878,1.0
SEMA4D,0.3571341201157937,0.4229234695777736,1.0
TRIM11,0.0023815908931320877,0.02972727124696317,1.0
PPFIBP2,0.3938365933575768,0.4443367477450499,1.0
SEMA4F,0.14797417024173873,0.2599658602612207,1.0
TCFL5,0.11403149974633282,0.22583848154388028,1.0
REN,0.12124092180308631,0.23319213091768112,1.0
SPTAN1,0.09400293379240657,0.20293539818712253,1.0
TRIM13,0.14070386985699498,0.2530094684644213,1.0
PPHLN1,0.0850519540943242,0.19183057558969072,1.0
TCHH,0.22006697415046553,0.32394982183217674,1.0
RENBP,0.2298186418465144,0.3312277625587563,1.0
PPIA,0.001181355324054208,0.021901245064271813,1.0
SEMA5A,0.09610305782445693,0.20506841414780902,1.0
TCHP,0.0021204911722493528,0.027886688877114818,1.0
REP15,0.4031524767132648,0.44859687542487553,1.0
TRIM15,0.36853410932462993,0.4299147903552925,1.0
PPIAL4A,0.00011962470020996646,0.00888079138536205,1.0
SEMA5B,0.4872443055365663,0.49319592840036836,1.0
TCIRG1,0.1822489134318212,0.2931325653335447,1.0
TRIM16,0.00039190350075965675,0.01393029601149829,1.0
SPTBN2,0.10445393599433367,0.21429737544626948,1.0
PPIAL4C,2.492885549141321e-05,0.004704185292666614,0.34292133613988013
TCL1A,0.0626774024998046,0.16112724243702445,1.0
REPS1,0.009515912738257757,0.058976442536906,1.0
TRIM16L,0.03697705404421621,0.12113749831679879,1.0
SPTBN4,0.20312814863864775,0.31021384978305766,1.0
SEMA6A-AS1,0.10472120737882634,0.21464182775249535,1.0
PPIAL4E,0.00042301673368068756,0.014313384978970872,1.0
TCL6,0.06309946361410933,0.16157785209897393,1.0
REPS2,0.06312824970925787,0.1616214783176161,1.0
SPTBN5,0.3671012440170992,0.429045366243222,1.0
PPIAL4F,5.158616522878991e-05,0.006631955970908729,0.709619288887234
