name,logrank_p_value,FDR,Bonferroni
SNRNP48,0.01683053962671432,0.03177766172377252,1.0
SNRNP70,0.00663965745940114,0.02207651306207591,1.0
RAD51,0.04373983921405023,0.047055894412876574,1.0
SNRPA,0.0017217624676322196,0.014003668070075387,1.0
SNRPA1,0.00994006290684833,0.025889098021527054,1.0
SNRPB,0.005912546479981816,0.021113727036007775,1.0
SAP130,0.03420065600048071,0.04277613559037765,1.0
SNRPB2,0.0004041749219025698,0.007823936496825123,1.0
SNRPD1,0.004404785947923302,0.019087476896644192,1.0
SNRPD2,0.001521903379527216,0.01331397250022053,1.0
RAD51L3-RFFL,3.309258234312003e-05,0.00338611842556054,0.10496967119237674
SNRPD3,0.029319552326827474,0.03978801245256373,1.0
SNRPE,0.0028482491777685687,0.015925645037125846,1.0
SLC9A3,0.030197721258757058,0.04048146164572409,1.0
SNRPF,0.002629989250410904,0.015551011994778584,1.0
RAD54B,0.00022553036604672217,0.006444885775677501,0.7153823211002027
PLEKHA8,0.015514672497025558,0.03091568222306662,1.0
SNRPG,0.00010178562739646829,0.004978930155152019,0.32286401010159743
PLEKHA8P1,0.004792334790268234,0.019767602021756616,1.0
SAPCD2,0.011271189030478648,0.027128671560342592,1.0
NKIRAS2,0.026751829151329374,0.038303115843308186,1.0
NKPD1,0.019837734887119738,0.033990052937832985,1.0
PLEKHB2,0.006136973641460695,0.021385391328425228,1.0
SAR1B,0.0022191949020132027,0.01523432852916834,1.0
RAE1,4.4463064563735346e-06,0.0017629605099521064,0.014103684079616851
SNTN,0.00983329227535481,0.025889098021527054,1.0
SARNP,0.017614463368481936,0.032379266811008375,1.0
SNU13,0.018219964199025013,0.032725779410706306,1.0
PLEKHG2,0.03960289039481514,0.04581340931158046,1.0
SARS,0.03977214388273355,0.04582354779754559,1.0
SNUPN,0.04617198918438585,0.04824029963533331,1.0
NKX3-2,0.012333734379274531,0.028354742946721016,1.0
NLE1,9.519648338763346e-05,0.004978930155152019,0.30196324530557334
SART3,0.010233709046610452,0.025948301435530258,1.0
RALA,0.024604635289440586,0.037065734048856235,1.0
SNX14,0.01710607665767661,0.03189916235047043,1.0
PLEKHJ1,0.011199170721238473,0.027106042698977192,1.0
SLCO5A1,0.025801537278831718,0.03780252944501349,1.0
SAYSD1,0.003781334393082862,0.018107387091731736,1.0
SLF2,0.03460335191728133,0.043042654963948865,1.0
PLEKHS1,0.02650147663593322,0.038175605762570466,1.0
NLRP6,0.0003539826716277878,0.007823936496825123,1.0
SBF1P1,0.03008414852702153,0.0404351352236069,1.0
RALY,0.014902417608573523,0.030438163975785713,1.0
NME1,0.02730166937914652,0.038557834047485647,1.0
RAN,0.0009684029513940542,0.011548023164744134,1.0
PLIN3,0.03365582627623142,0.04238650419049062,1.0
RANBP1,0.000736755590371134,0.0102182629161617,1.0
SC5D,0.017466852159538516,0.03231891642250638,1.0
SLIT3,0.016002572596001942,0.03137260689551779,1.0
SCAF1,0.046660978647771356,0.04846385863481688,1.0
PLK1,0.005454494303769026,0.020632763126062624,1.0
NME4,0.02906282041256663,0.03974642055840636,1.0
NME5,0.012471682938672329,0.028460559914725632,1.0
SNX5,0.011156188605769814,0.02707674804587503,1.0
NME6,0.008905962803562876,0.024650710307941925,1.0
SNX6,0.0003398747615062716,0.007823936496825123,1.0
PLK4,0.029034444405043068,0.03974642055840636,1.0
SNX7,0.01538509622152559,0.03078858276435002,1.0
PLK5,0.007409529714846309,0.022918268885986047,1.0
RANGAP1,0.015454655130530914,0.03087038165871792,1.0
RANGRF,0.04493338416273898,0.047636595776807504,1.0
SCAMP3,0.0423071011603817,0.04655832474729915,1.0
SCAMP4,0.017852110474190032,0.03248817809760802,1.0
