mirna_name,P-value,FDR,Bonferroni,A,B,observed_ratio,C,D,expected_ratio,foldchange_enrichment
hsa-miR-562,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-567,1.0,1.0,1.0,0,4,0.0,51,26380,0.0019332827899924184,0.0
hsa-miR-5680,1.0,1.0,1.0,0,4,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-5682,0.03205790928662257,0.6998092311948851,1.0,1,4,0.25,214,26380,0.008112206216830932,30.817757009345797
hsa-miR-5683,1.0,1.0,1.0,0,4,0.0,62,26380,0.0023502653525398027,0.0
hsa-miR-5688,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-5690,1.0,1.0,1.0,0,4,0.0,40,26380,0.001516300227445034,0.0
hsa-miR-5699-3p,1.0,1.0,1.0,0,4,0.0,92,26380,0.0034874905231235785,0.0
hsa-miR-5699-5p,1.0,1.0,1.0,0,4,0.0,50,26380,0.0018953752843062926,0.0
hsa-miR-570-3p,1.0,1.0,1.0,0,4,0.0,157,26380,0.005951478392721759,0.0
hsa-miR-5701,1.0,1.0,1.0,0,4,0.0,64,26380,0.0024260803639120547,0.0
hsa-miR-571,1.0,1.0,1.0,0,4,0.0,227,26380,0.00860500379075057,0.0
hsa-miR-572,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-573,1.0,1.0,1.0,0,4,0.0,183,26380,0.006937073540561031,0.0
hsa-miR-574-3p,1.0,1.0,1.0,0,4,0.0,741,26380,0.028089461713419257,0.0
hsa-miR-574-5p,0.4358189378363717,1.0,1.0,1,4,0.25,3517,26380,0.13332069749810463,1.8751777082740972
hsa-miR-576-3p,0.29484288640771317,1.0,1.0,1,4,0.25,2206,26380,0.08362395754359363,2.989573889392566
hsa-miR-576-5p,1.0,1.0,1.0,0,4,0.0,1032,26380,0.03912054586808188,0.0
hsa-miR-577,1.0,1.0,1.0,0,4,0.0,330,26380,0.012509476876421531,0.0
hsa-miR-579-3p,1.0,1.0,1.0,0,4,0.0,389,26380,0.014746019711902958,0.0
hsa-miR-579-5p,1.0,1.0,1.0,0,4,0.0,57,26380,0.0021607278241091736,0.0
hsa-miR-580-3p,1.0,1.0,1.0,0,4,0.0,130,26380,0.004927975739196361,0.0
hsa-miR-582-3p,1.0,1.0,1.0,0,4,0.0,824,26380,0.031235784685367703,0.0
hsa-miR-582-5p,1.0,1.0,1.0,0,4,0.0,1817,26380,0.06887793783169067,0.0
hsa-miR-584-3p,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-584-5p,1.0,1.0,1.0,0,4,0.0,1762,26380,0.06679302501895375,0.0
hsa-miR-585-3p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-589-3p,1.0,1.0,1.0,0,4,0.0,704,26380,0.0266868840030326,0.0
hsa-miR-589-5p,1.0,1.0,1.0,0,4,0.0,1888,26380,0.0715693707354056,0.0
hsa-miR-590-3p,0.10924801723346754,1.0,1.0,1,4,0.25,752,26380,0.02850644427596664,8.769946808510639
hsa-miR-590-5p,1.0,1.0,1.0,0,4,0.0,862,26380,0.032676269901440486,0.0
hsa-miR-591,1.0,1.0,1.0,0,4,0.0,184,26380,0.006974981046247157,0.0
hsa-miR-592,1.0,1.0,1.0,0,4,0.0,1125,26380,0.04264594389689159,0.0
hsa-miR-593-3p,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-597-3p,1.0,1.0,1.0,0,4,0.0,106,26380,0.004018195602729341,0.0
hsa-miR-597-5p,1.0,1.0,1.0,0,4,0.0,953,26380,0.03612585291887794,0.0
hsa-miR-598-3p,0.0930099939725545,1.0,1.0,1,4,0.25,636,26380,0.02410917361637604,10.369496855345913
hsa-miR-598-5p,1.0,1.0,1.0,0,4,0.0,255,26380,0.009666413949962092,0.0
hsa-miR-601,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-603,1.0,1.0,1.0,0,4,0.0,202,26380,0.0076573161485974225,0.0
hsa-miR-605-3p,1.0,1.0,1.0,0,4,0.0,7,26380,0.00026535253980288095,0.0
hsa-miR-605-5p,1.0,1.0,1.0,0,4,0.0,44,26380,0.0016679302501895375,0.0
hsa-miR-608,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-610,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-612,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-615-3p,1.0,1.0,1.0,0,4,0.0,475,26380,0.01800606520090978,0.0
hsa-miR-615-5p,1.0,1.0,1.0,0,4,0.0,101,26380,0.0038286580742987113,0.0
hsa-miR-616-3p,1.0,1.0,1.0,0,4,0.0,80,26380,0.003032600454890068,0.0
hsa-miR-616-5p,1.0,1.0,1.0,0,4,0.0,167,26380,0.0063305534495830176,0.0
hsa-miR-618,1.0,1.0,1.0,0,4,0.0,321,26380,0.012168309325246398,0.0
hsa-miR-619-5p,1.0,1.0,1.0,0,4,0.0,761,26380,0.028847611827141774,0.0
hsa-miR-622,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-624-3p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-624-5p,1.0,1.0,1.0,0,4,0.0,700,26380,0.026535253980288095,0.0
hsa-miR-625-3p,0.069387899743879,0.996517680260492,1.0,1,4,0.25,470,26380,0.01781652767247915,14.03191489361702
hsa-miR-625-5p,0.009355475483497614,0.656347246303,1.0,3,4,0.75,3632,26380,0.1376800606520091,5.447411894273127
hsa-miR-627-5p,1.0,1.0,1.0,0,4,0.0,504,26380,0.01910538286580743,0.0
hsa-miR-628-3p,1.0,1.0,1.0,0,4,0.0,329,26380,0.012471569370735406,0.0
hsa-miR-628-5p,0.005580422481487943,0.656347246303,1.0,2,4,0.5,822,26380,0.031159969673995452,16.046228710462287
hsa-miR-629-3p,1.0,1.0,1.0,0,4,0.0,166,26380,0.0062926459438968916,0.0
hsa-miR-629-5p,1.0,1.0,1.0,0,4,0.0,1601,26380,0.06068991660348749,0.0
hsa-miR-630,1.0,1.0,1.0,0,4,0.0,95,26380,0.003601213040181956,0.0
hsa-miR-636,0.0472098697462745,0.8798202998169339,1.0,1,4,0.25,317,26380,0.012016679302501896,20.80441640378549
hsa-miR-638,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-639,1.0,1.0,1.0,0,4,0.0,19,26380,0.0007202426080363912,0.0
hsa-miR-641,1.0,1.0,1.0,0,4,0.0,1135,26380,0.043025018953752846,0.0
hsa-miR-642a-3p,1.0,1.0,1.0,0,4,0.0,123,26380,0.00466262319939348,0.0
hsa-miR-642a-5p,1.0,1.0,1.0,0,4,0.0,487,26380,0.018460955269143292,0.0
hsa-miR-642b-3p,1.0,1.0,1.0,0,4,0.0,29,26380,0.0010993176648976498,0.0
hsa-miR-642b-5p,1.0,1.0,1.0,0,4,0.0,110,26380,0.004169825625473844,0.0
hsa-miR-643,1.0,1.0,1.0,0,4,0.0,107,26380,0.004056103108415466,0.0
hsa-miR-648,1.0,1.0,1.0,0,4,0.0,1,26380,3.7907505686125855e-05,0.0
hsa-miR-6500-3p,1.0,1.0,1.0,0,4,0.0,113,26380,0.004283548142532221,0.0
hsa-miR-6503-3p,1.0,1.0,1.0,0,4,0.0,2,26380,7.581501137225171e-05,0.0
hsa-miR-6505-5p,1.0,1.0,1.0,0,4,0.0,57,26380,0.0021607278241091736,0.0
hsa-miR-6507-5p,1.0,1.0,1.0,0,4,0.0,131,26380,0.004965883244882487,0.0
hsa-miR-651-5p,1.0,1.0,1.0,0,4,0.0,624,26380,0.023654283548142533,0.0
hsa-miR-6511a-3p,1.0,1.0,1.0,0,4,0.0,147,26380,0.0055724033358605,0.0
hsa-miR-6511b-3p,1.0,1.0,1.0,0,4,0.0,61,26380,0.002312357846853677,0.0
hsa-miR-6511b-5p,1.0,1.0,1.0,0,4,0.0,3,26380,0.00011372251705837755,0.0
hsa-miR-6514-5p,1.0,1.0,1.0,0,4,0.0,139,26380,0.005269143290371494,0.0
hsa-miR-6515-5p,1.0,1.0,1.0,0,4,0.0,28,26380,0.0010614101592115238,0.0
hsa-miR-6516-3p,1.0,1.0,1.0,0,4,0.0,260,26380,0.009855951478392721,0.0
hsa-miR-6516-5p,1.0,1.0,1.0,0,4,0.0,213,26380,0.008074298711144807,0.0
hsa-miR-652-3p,0.3913242201356234,1.0,1.0,1,4,0.25,3079,26380,0.1167172100075815,2.1419291977914905
hsa-miR-652-5p,1.0,1.0,1.0,0,4,0.0,64,26380,0.0024260803639120547,0.0
hsa-miR-653-3p,1.0,1.0,1.0,0,4,0.0,438,26380,0.016603487490523122,0.0
hsa-miR-653-5p,1.0,1.0,1.0,0,4,0.0,251,26380,0.00951478392721759,0.0
hsa-miR-654-3p,1.0,1.0,1.0,0,4,0.0,896,26380,0.03396512509476876,0.0
hsa-miR-654-5p,1.0,1.0,1.0,0,4,0.0,150,26380,0.005686125852918878,0.0
